pair_id,pair_type,E1_index,E2_index,E3_index,E4_index,k1_index,k2_index,k3_index,k4_index,E1,E2,E3,E4,k1,k2,k3,k4,kw1,kw2,kw3,kw4,k2_mapped,probability
9-9-9-8-0-999-0-111,eeh,9,9,9,8,0,999,0,111,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, -0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, 0.14583825178845475]",0.001,0.001,0.001,0.001,"[-0.0841997376500335, -0.05953820903768789, -0.14583825178845472]",1.630975004962732e-10
9-9-9-8-0-100-0-900,eeh,9,9,9,8,0,100,0,900,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]",0.001,0.001,0.001,0.001,"[-0.08419973765003351, -0.0595382090376879, 0.14583825178845475]",1.630975004962732e-10
9-9-9-8-0-111-0-999,eeh,9,9,9,8,0,111,0,999,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, 0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, -0.14583825178845475]",0.001,0.001,0.001,0.001,"[0.08419973765003354, 0.0595382090376879, 0.14583825178845475]",1.630975004962732e-10
9-9-9-8-0-91-0-19,eeh,9,9,9,8,0,91,0,19,0.4,1.8882999999999996,0.4,-0.14529999999999976,"[0.0, 0.0, 0.0]","[0.16839947530006705, -0.238152884979784, 0.0]","[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.238152884979784, 0.0]",0.001,0.001,0.001,0.001,"[0.16839947530006705, -0.23815288497978396, 0.0]",6.964131132704458e-11
9-9-9-8-0-19-0-91,eeh,9,9,9,8,0,19,0,91,0.4,1.8882999999999996,0.4,-0.14529999999999976,"[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.238152884979784, 0.0]","[0.0, 0.0, 0.0]","[0.16839947530006705, -0.238152884979784, 0.0]",0.001,0.001,0.001,0.001,"[-0.168399475300067, 0.23815288497978399, 0.0]",6.964131132704458e-11
9-9-9-8-0-901-0-109,eeh,9,9,9,8,0,901,0,109,0.4,1.8882999999999996,0.4,-0.14529999999999976,"[0.0, 0.0, 0.0]","[0.25259921295010057, -2.4414516187368884e-08, -0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.25259921295010057, 2.4414516187368884e-08, 0.14583825178845475]",0.001,0.001,0.001,0.001,"[0.25259921295010057, -2.4414516186510582e-08, -0.14583825178845472]",6.964131132704458e-11
9-9-9-8-0-998-0-112,eeh,9,9,9,8,0,998,0,112,0.4,1.8882999999999996,0.4,-0.14529999999999976,"[0.0, 0.0, 0.0]","[-0.25259921295010057, 2.4414516192591173e-08, -0.14583825178845475]","[0.0, 0.0, 0.0]","[0.25259921295010057, -2.4414516192591173e-08, 0.14583825178845475]",0.001,0.001,0.001,0.001,"[-0.25259921295010046, 2.4414516186510582e-08, -0.14583825178845472]",6.964131132704458e-11
9-9-9-8-0-989-0-121,eeh,9,9,9,8,0,989,0,121,0.4,1.8882999999999996,0.4,-0.14529999999999976,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.2381528605652678, -0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.2381528605652678, 0.14583825178845475]",0.001,0.001,0.001,0.001,"[-0.0841997376500335, -0.23815286056526777, -0.14583825178845472]",6.964131132704458e-11
9-9-9-8-0-910-0-190,eeh,9,9,9,8,0,910,0,190,0.4,1.8882999999999996,0.4,-0.14529999999999976,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.23815286056526783, -0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.23815286056526783, 0.14583825178845475]",0.001,0.001,0.001,0.001,"[0.08419973765003352, 0.23815286056526785, -0.14583825178845472]",6.964131132704458e-11
9-9-9-8-0-899-0-211,eeh,9,9,9,8,0,899,0,211,0.4,1.8882999999999996,0.4,-0.14529999999999976,"[0.0, 0.0, 0.0]","[-1.2856411751856643e-17, -1.7166036328300043e-18, -0.2916765035769095]","[0.0, 0.0, 0.0]","[1.2856411751856643e-17, 1.7166036328300043e-18, 0.2916765035769095]",0.001,0.001,0.001,0.001,"[0.0, 0.0, -0.29167650357690944]",6.964131132704458e-11
9-9-9-8-0-211-0-899,eeh,9,9,9,8,0,211,0,899,0.4,1.8882999999999996,0.4,-0.14529999999999976,"[0.0, 0.0, 0.0]","[1.2856411751856643e-17, 1.7166036328300043e-18, 0.2916765035769095]","[0.0, 0.0, 0.0]","[-1.2856411751856643e-17, -1.7166036328300043e-18, -0.2916765035769095]",0.001,0.001,0.001,0.001,"[2.7755575615628914e-17, -2.7755575615628914e-17, 0.2916765035769095]",6.964131132704458e-11
9-9-9-8-0-109-0-901,eeh,9,9,9,8,0,109,0,901,0.4,1.8882999999999996,0.4,-0.14529999999999976,"[0.0, 0.0, 0.0]","[-0.25259921295010057, 2.4414516187368884e-08, 0.14583825178845475]","[0.0, 0.0, 0.0]","[0.25259921295010057, -2.4414516187368884e-08, -0.14583825178845475]",0.001,0.001,0.001,0.001,"[-0.2525992129501007, 2.4414516242021733e-08, 0.14583825178845475]",6.964131132704458e-11
9-9-9-8-0-190-0-910,eeh,9,9,9,8,0,190,0,910,0.4,1.8882999999999996,0.4,-0.14529999999999976,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.23815286056526783, 0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.23815286056526783, -0.14583825178845475]",0.001,0.001,0.001,0.001,"[-0.08419973765003351, -0.23815286056526797, 0.14583825178845475]",6.964131132704458e-11
9-9-9-8-0-121-0-989,eeh,9,9,9,8,0,121,0,989,0.4,1.8882999999999996,0.4,-0.14529999999999976,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.2381528605652678, 0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.2381528605652678, -0.14583825178845475]",0.001,0.001,0.001,0.001,"[0.08419973765003354, 0.2381528605652678, 0.14583825178845475]",6.964131132704458e-11
9-9-9-8-0-112-0-998,eeh,9,9,9,8,0,112,0,998,0.4,1.8882999999999996,0.4,-0.14529999999999976,"[0.0, 0.0, 0.0]","[0.25259921295010057, -2.4414516192591173e-08, 0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.25259921295010057, 2.4414516192591173e-08, -0.14583825178845475]",0.001,0.001,0.001,0.001,"[0.25259921295010057, -2.4414516186510582e-08, 0.14583825178845475]",6.964131132704458e-11
9-9-9-6-0-0-0-0,eeh,9,9,9,6,0,0,0,0,0.4,0.4,0.4,-0.26869999999999994,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.001,0.001,0.001,"[0.0, 0.0, 0.0]",5.865843664741856e-13
