pair_id,pair_type,E1_index,E2_index,E3_index,E4_index,k1_index,k2_index,k3_index,k4_index,E1,E2,E3,E4,k1,k2,k3,k4,kw1,kw2,kw3,kw4,k4_mapped,probability,C_Gaussian_FWHM_0.001,C_Gaussian_FWHM_0.005,C_Gaussian_FWHM_0.010,C_Gaussian_FWHM_0.030,C_Gaussian_FWHM_0.050,C_Gaussian_FWHM_0.070,C_Gaussian_FWHM_0.100,C_Gaussian_FWHM_0.150,C_Gaussian_FWHM_0.200,C_Lorentzian_FWHM_0.001,C_Lorentzian_FWHM_0.005,C_Lorentzian_FWHM_0.010,C_Lorentzian_FWHM_0.030,C_Lorentzian_FWHM_0.050,C_Lorentzian_FWHM_0.070,C_Lorentzian_FWHM_0.100,C_Lorentzian_FWHM_0.150,C_Lorentzian_FWHM_0.200,C_Rectangular_FWHM_0.001,C_Rectangular_FWHM_0.005,C_Rectangular_FWHM_0.010,C_Rectangular_FWHM_0.030,C_Rectangular_FWHM_0.050,C_Rectangular_FWHM_0.070,C_Rectangular_FWHM_0.100,C_Rectangular_FWHM_0.150,C_Rectangular_FWHM_0.200
9-7-7-7-0-0-900-900,ehh,9,7,7,7,0,0,900,900,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]",0.001,0.001,0.001,0.001,"[0.08419973765003352, 0.0595382090376879, -0.14583825178845472]",7.483045246927161e-11,0.0,0.0,0.0,1.0740956409008293e-243,6.475749035383425e-107,2.574170734415428e-69,2.0324467753966874e-49,6.842529162282327e-39,2.860414543852149e-35,3.969817888670945e-34,1.9848345131575285e-33,3.9692039034014916e-33,1.1892748097522048e-32,1.9771886525815514e-32,2.7577627430564523e-32,3.9087498747189123e-32,5.752499815624062e-32,7.472610054609686e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-7-7-7-0-0-999-999,ehh,9,7,7,7,0,0,999,999,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, -0.14583825178845475]","[-0.08419973765003352, -0.05953820903768791, -0.14583825178845475]",0.001,0.001,0.001,0.001,"[-0.0841997376500335, -0.05953820903768789, -0.14583825178845472]",7.483045246927161e-11,0.0,0.0,0.0,8.782389529797422e-244,5.294924232942138e-107,2.104781844835604e-69,1.6618389045670969e-49,5.594823591528631e-39,2.3388303347994252e-35,3.2459387824078033e-34,1.622908532229035e-33,3.24543675469423e-33,9.724156966826851e-33,1.616656861229398e-32,2.2548966454889805e-32,3.1960062564304247e-32,4.703556377388172e-32,6.110011960822871e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-7-8-7-0-0-1-1,ehh,9,7,8,7,0,0,1,1,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]",0.001,0.001,0.001,0.001,"[0.16839947530006705, -0.05953823345220409, 0.0]",7.483045246927161e-11,0.0,0.0,0.0,1.89916062339157e-243,1.1450086067885488e-106,4.5515161723285465e-69,3.593667756352527e-49,1.209860780614858e-38,5.057637740125809e-35,7.019227621507483e-34,3.509482205376674e-33,7.018142004362461e-33,2.102814493833239e-32,3.495963188320943e-32,4.876134110551539e-32,6.911250303065245e-32,1.017127403092621e-31,1.3212684402918853e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-7-8-7-0-0-9-9,ehh,9,7,8,7,0,0,9,9,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]",0.001,0.001,0.001,0.001,"[-0.168399475300067, 0.059538233452204076, 0.0]",7.483045246927161e-11,0.0,0.0,0.0,1.899160566547569e-243,1.1450085716116895e-106,4.5515160324972443e-69,3.5936676459481645e-49,1.2098607434456154e-38,5.057637584745482e-35,7.019227405863354e-34,3.5094820975586524e-33,7.018141788751685e-33,2.1028144292307464e-32,3.495963080918251e-32,4.876133960747351e-32,6.911250090738388e-32,1.0171273718445174e-31,1.3212683996999857e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-7-8-7-0-0-10-10,ehh,9,7,8,7,0,0,10,10,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]","[0.0, 0.1786146515275799, 0.0]",0.001,0.001,0.001,0.001,"[0.0, 0.17861465152757994, 0.0]",7.483045246927161e-11,0.0,0.0,0.0,3.8248962493122084e-243,2.306039351193024e-106,9.1667218383795e-69,7.237621806621818e-49,2.4366511771367006e-38,1.018604714729705e-34,1.4136675492402198e-33,7.068072693889222e-33,1.4134489067040932e-32,4.235053729979512e-32,7.040845487792139e-32,9.820500102758613e-32,1.3919209925865996e-31,2.0484874985236756e-31,2.6610254270037933e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-7-8-7-0-0-90-90,ehh,9,7,8,7,0,0,90,90,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]","[0.0, -0.1786146515275799, 0.0]",0.001,0.001,0.001,0.001,"[0.0, -0.17861465152757985, 0.0]",7.483045246927161e-11,0.0,0.0,0.0,3.8248961924682075e-243,2.3060393184516375e-106,9.166721708229429e-69,7.237621703861313e-49,2.4366511425408743e-38,1.0186047002674494e-34,1.4136675291688213e-33,7.068072593535992e-33,1.4134488866357987e-32,4.235053669849779e-32,7.040845387825484e-32,9.820499963326133e-32,1.391920972823961e-31,2.0484874694390367e-31,2.661025389222278e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-7-8-7-0-0-100-100,ehh,9,7,8,7,0,0,100,100,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]",0.001,0.001,0.001,0.001,"[-0.08419973765003351, -0.0595382090376879, 0.14583825178845475]",7.483045246927161e-11,0.0,0.0,0.0,2.4244258647689955e-244,1.461692319572081e-107,5.810363513476505e-70,4.587595697893625e-50,1.544481150876451e-39,6.456466961112562e-36,8.96058863038784e-35,4.480126310719775e-34,8.959202755876969e-34,2.6844058436746046e-33,4.462868236604551e-33,6.22476349639602e-33,8.822747206210533e-33,1.2984420416687203e-32,1.6867016717755435e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-7-8-7-0-0-111-111,ehh,9,7,8,7,0,0,111,111,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, 0.14583825178845475]","[0.08419973765003352, 0.05953820903768791, 0.14583825178845475]",0.001,0.001,0.001,0.001,"[0.08419973765003354, 0.0595382090376879, 0.14583825178845475]",7.483045246927161e-11,0.0,0.0,0.0,3.044451010960802e-247,1.835474058062325e-110,7.296180840589053e-73,5.7607286975600995e-53,1.939433523485907e-42,8.107504879910673e-39,1.1251976736704775e-37,5.625777402029446e-37,1.1250236468470229e-36,3.370858026276076e-36,5.604106119430189e-36,7.816550557338277e-36,1.1078886713027372e-35,1.6304776672002548e-35,2.118022459843468e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-7-8-7-0-0-900-900,ehh,9,7,8,7,0,0,900,900,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]",0.001,0.001,0.001,0.001,"[0.08419973765003352, 0.0595382090376879, -0.14583825178845472]",7.483045246927161e-11,0.0,0.0,0.0,2.4244755464259575e-244,1.461722235199601e-107,5.810482430890452e-70,4.587689589612336e-50,1.5445127608960174e-39,6.456599101959249e-36,8.960772021672202e-35,4.480218002923504e-34,8.959386118797425e-34,2.6844607838862055e-33,4.462959575597066e-33,6.224890895099335e-33,8.822927776372662e-33,1.2984686161454105e-32,1.6867361925418327e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-7-8-7-0-0-999-999,ehh,9,7,8,7,0,0,999,999,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, -0.14583825178845475]","[-0.08419973765003352, -0.05953820903768791, -0.14583825178845475]",0.001,0.001,0.001,0.001,"[-0.0841997376500335, -0.05953820903768789, -0.14583825178845472]",7.483045246927161e-11,0.0,0.0,0.0,3.054569243156759e-247,1.841618587022808e-110,7.32060591719474e-73,5.780013614260589e-53,1.945926072590399e-42,8.134645987306361e-39,1.128964444255857e-37,5.644610548714447e-37,1.128789834851106e-36,3.3821424869161775e-36,5.6228667181960533e-36,7.842717650825476e-36,1.1115974973664503e-35,1.635935939520436e-35,2.1251128626123316e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-8-7-7-0-0-1-1,ehh,9,8,7,7,0,0,1,1,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]",0.001,0.001,0.001,0.001,"[0.16839947530006705, -0.05953823345220409, 0.0]",7.483045246927161e-11,0.0,0.0,0.0,7.100497865512824e-247,4.2809416509729835e-110,1.701714296440804e-72,1.3435953133205763e-52,4.523410022339957e-42,1.8909422976272764e-38,2.624338690942313e-37,1.312120141042749e-36,2.623932801971209e-36,7.861972475620709e-36,1.3070656704605222e-35,1.823081982600775e-35,2.58396828698734e-35,3.802821252547406e-35,4.93993937218168e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-8-7-7-0-0-9-9,ehh,9,8,7,7,0,0,9,9,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]",0.001,0.001,0.001,0.001,"[-0.168399475300067, 0.059538233452204076, 0.0]",7.483045246927161e-11,0.0,0.0,0.0,7.101748433537042e-247,4.2816777573160677e-110,1.7020069055884759e-72,1.3438263440407557e-52,4.5241878210303577e-42,1.8912674444601864e-38,2.6247899450154356e-37,1.3123457596186268e-36,2.6243839862518724e-36,7.863324338897597e-36,1.3072904199220414e-35,1.8233954608774635e-35,2.5844125993843434e-35,3.8034751462637497e-35,4.940788792940656e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
